"","Treatment","Outcome"
"1",0,1
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"6",0,1
"7",0,1
"8",0,1
"9",0,1
"10",0,1
"11",0,1
"12",0,1
"13",0,1
"14",0,1
"15",0,1
"16",0,1
"17",0,1
"18",0,1
"19",0,1
"20",0,1
"21",0,1
"22",0,1
"23",0,1
"24",0,1
"25",0,1
"26",0,1
"27",0,1
"28",0,1
"29",0,1
"30",0,1
"31",0,1
"32",0,1
"33",0,1
"34",0,1
"35",0,1
"36",0,1
"37",0,1
"38",0,1
"39",0,1
"40",0,1
"41",0,1
"42",0,1
"43",0,1
"44",0,1
"45",0,1
"46",0,1
"47",0,1
"48",0,1
"49",0,1
"50",0,1
"51",0,1
"52",0,1
"53",0,1
"54",0,1
"55",0,1
"56",0,1
"57",0,1
"58",0,1
"59",0,1
"60",0,1
"61",0,1
"62",0,1
"63",0,1
"64",0,1
"65",0,1
"66",0,1
"67",0,1
"68",0,1
"69",0,1
"70",0,1
"71",0,1
"72",0,1
"73",0,1
"74",0,1
"75",0,1
"76",0,1
"77",0,1
"78",0,1
"79",0,1
"80",0,1
"81",0,1
"82",0,1
"83",0,1
"84",0,1
"85",0,1
"86",0,1
"87",0,1
"88",0,1
"89",0,1
"90",0,1
"91",0,1
"92",0,1
"93",0,1
"94",0,1
"95",0,1
"96",0,1
"97",0,1
"98",0,1
"99",0,1
"100",0,1
"101",0,1
"102",0,1
"103",0,1
"104",0,1
"105",0,1
"106",0,1
"107",0,1
"108",0,1
"109",0,1
"110",0,1
"111",0,1
"112",0,1
"113",0,1
"114",0,1
"115",0,1
"116",0,1
"117",0,1
"118",0,1
"119",0,1
"120",0,1
"121",0,1
"122",0,1
"123",0,1
"124",0,1
"125",0,1
"126",0,1
"127",0,1
"128",0,1
"129",0,1
"130",0,1
"131",0,1
"132",0,1
"133",0,1
"134",0,1
"135",0,1
"136",0,1
"137",0,1
"138",0,1
"139",0,1
"140",0,1
"141",0,1
"142",0,1
"143",0,1
"144",0,1
"145",0,1
"146",0,1
"147",0,1
"148",0,1
"149",0,1
"150",0,1
"151",0,1
"152",0,1
"153",0,1
"154",0,1
"155",0,1
"156",0,1
"157",0,1
"158",0,1
"159",0,1
"160",0,1
"161",0,1
"162",0,1
"163",0,1
"164",0,1
"165",0,1
"166",0,1
"167",0,1
"168",0,1
"169",0,1
"170",0,1
"171",0,1
"172",0,1
"173",0,1
"174",0,1
"175",0,1
"176",0,1
"177",0,1
"178",0,1
"179",0,1
"180",0,1
"181",0,1
"182",0,1
"183",0,1
"184",0,1
"185",0,1
"186",0,1
"187",0,1
"188",0,1
"189",0,1
"190",0,1
"191",0,1
"192",0,1
"193",0,1
"194",0,1
"195",0,1
"196",0,1
"197",0,1
"198",0,1
"199",0,1
"200",0,1
"201",0,1
"202",0,1
"203",0,1
"204",0,1
"205",0,1
"206",0,1
"207",0,1
"208",0,1
"209",0,1
"210",0,1
"211",0,1
"212",0,1
"213",0,1
"214",0,1
"215",0,1
"216",0,1
"217",0,1
"218",0,1
"219",0,1
"220",0,1
"221",0,1
"222",0,1
"223",0,1
"224",0,1
"225",0,1
"226",0,1
"227",0,1
"228",0,1
"229",0,1
"230",0,1
"231",0,1
"232",0,1
"233",0,1
"234",0,1
"235",0,1
"236",0,1
"237",0,1
"238",0,1
"239",0,1
"240",0,1
"241",0,1
"242",0,1
"243",0,1
"244",0,1
"245",0,1
"246",0,1
"247",0,1
"248",0,1
"249",0,1
"250",0,1
"251",0,1
"252",0,1
"253",0,1
"254",0,1
"255",0,1
"256",0,1
"257",0,1
"258",0,1
"259",0,1
"260",0,1
"261",0,1
"262",0,1
"263",0,1
"264",0,1
"265",0,1
"266",0,1
"267",0,1
"268",0,1
"269",0,1
"270",0,1
"271",0,1
"272",0,1
"273",0,1
"274",0,1
"275",0,1
"276",0,1
"277",0,1
"278",0,1
"279",0,1
"280",0,1
"281",0,1
"282",0,1
"283",0,1
"284",0,1
"285",0,1
"286",0,1
"287",0,1
"288",0,1
"289",0,1
"290",0,1
"291",0,1
"292",0,1
"293",0,1
"294",0,1
"295",0,1
"296",0,1
"297",0,1
"298",0,1
"299",0,1
"300",0,1
"301",0,1
"302",0,1
"303",0,1
"304",0,1
"305",0,1
"306",0,1
"307",0,1
"308",0,1
"309",0,1
"310",0,1
"311",0,1
"312",0,1
"313",0,1
"314",0,1
"315",0,1
"316",0,1
"317",0,1
"318",0,1
"319",0,1
"320",0,1
"321",0,1
"322",0,1
"323",0,1
"324",0,1
"325",0,1
"326",0,1
"327",0,1
"328",0,1
"329",0,1
"330",0,1
"331",0,1
"332",0,1
"333",0,1
"334",0,0
"335",0,0
"336",0,0
"337",0,0
"338",0,0
"339",0,0
"340",0,0
"341",0,0
"342",0,0
"343",0,0
"344",0,0
"345",0,0
"346",0,0
"347",0,0
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",0,0
"353",0,0
"354",0,0
"355",0,0
"356",0,0
"357",0,0
"358",0,0
"359",0,0
"360",0,0
"361",0,0
"362",0,0
"363",0,0
"364",0,0
"365",0,0
"366",0,0
"367",0,0
"368",0,0
"369",0,0
"370",0,0
"371",0,0
"372",0,0
"373",0,0
"374",0,0
"375",0,0
"376",0,0
"377",0,0
"378",0,0
"379",0,0
"380",0,0
"381",0,0
"382",0,0
"383",0,0
"384",0,0
"385",0,0
"386",0,0
"387",0,0
"388",0,0
"389",0,0
"390",0,0
"391",0,0
"392",0,0
"393",0,0
"394",0,0
"395",0,0
"396",0,0
"397",0,0
"398",0,0
"399",0,0
"400",0,0
"401",0,0
"402",0,0
"403",0,0
"404",0,0
"405",0,0
"406",0,0
"407",0,0
"408",0,0
"409",0,0
"410",0,0
"411",0,0
"412",0,0
"413",0,0
"414",0,0
"415",0,0
"416",0,0
"417",0,0
"418",0,0
"419",0,0
"420",0,0
"421",0,0
"422",0,0
"423",0,0
"424",0,0
"425",0,0
"426",0,0
"427",0,0
"428",0,0
"429",0,0
"430",0,0
"431",0,0
"432",0,0
"433",0,0
"434",0,0
"435",0,0
"436",0,0
"437",0,0
"438",0,0
"439",0,0
"440",0,0
"441",0,0
"442",0,0
"443",0,0
"444",0,0
"445",0,0
"446",0,0
"447",0,0
"448",0,0
"449",0,0
"450",0,0
"451",0,0
"452",0,0
"453",0,0
"454",0,0
"455",0,0
"456",0,0
"457",0,0
"458",0,0
"459",0,0
"460",0,0
"461",0,0
"462",0,0
"463",0,0
"464",0,0
"465",0,0
"466",0,0
"467",0,0
"468",0,0
"469",0,0
"470",0,0
"471",0,0
"472",0,0
"473",0,0
"474",0,0
"475",0,0
"476",0,0
"477",0,0
"478",0,0
"479",0,0
"480",0,0
"481",0,0
"482",0,0
"483",0,0
"484",0,0
"485",0,0
"486",0,0
"487",0,0
"488",0,0
"489",0,0
"490",0,0
"491",0,0
"492",0,0
"493",0,0
"494",0,0
"495",0,0
"496",0,0
"497",0,0
"498",0,0
"499",0,0
"500",0,0
"501",0,0
"502",0,0
"503",0,0
"504",0,0
"505",0,0
"506",0,0
"507",0,0
"508",0,0
"509",0,0
"510",0,0
"511",0,0
"512",0,0
"513",0,0
"514",0,0
"515",0,0
"516",0,0
"517",0,0
"518",0,0
"519",0,0
"520",0,0
"521",0,0
"522",0,0
"523",0,0
"524",0,0
"525",0,0
"526",0,0
"527",0,0
"528",0,0
"529",0,0
"530",0,0
"531",0,0
"532",0,0
"533",0,0
"534",0,0
"535",0,0
"536",0,0
"537",0,0
"538",0,0
"539",0,0
"540",0,0
"541",0,0
"542",0,0
"543",0,0
"544",0,0
"545",0,0
"546",0,0
"547",0,0
"548",0,0
"549",0,0
"550",0,0
"551",0,0
"552",0,0
"553",0,0
"554",0,0
"555",0,0
"556",0,0
"557",0,0
"558",0,0
"559",0,0
"560",0,0
"561",0,0
"562",0,0
"563",0,0
"564",0,0
